Ticker,Name,Sector,Industry,Price,MarketCap,ROE,DER,DivYield,PE_Ratio,PBV,Beta,Past24H
JAWA.JK,Jaya Agra Wattie,Consumer Defensive,Farm Products,133.0,2158982594560,-0.05523,174.023,0.0,0.0,1.605427,-0.42,5.56
ANJT.JK,Austindo Nusantara Jaya,Consumer Defensive,Farm Products,1620.0,5433763299328,0.07625,35.078,0.0,9.375,13278.688,0.487,1.25
BSDE.JK,Bumi Serpong Damai,Real Estate,Real Estate - Development,675.0,14116542480384,0.05716,31.143,0.0,5.545514,0.32214648,0.207,-1.46
CTRA.JK,Ciputra Development,Real Estate,Real Estate - Development,655.0,12140879544320,0.102290004,28.661,3.66,4.816885,0.49378994,0.177,0.0
PWON.JK,Pakuwon Jati,Real Estate,Real Estate - Diversified,296.0,14255241822208,0.110240005,20.976,4.45,5.853273,0.6344307,0.313,1.37
SMRA.JK,Summarecon Agung,Real Estate,Real Estate - Development,292.0,4820502052864,0.07928,87.736,3.1,6.7126436,0.4136159,0.43,0.69
MKPI.JK,Metropolitan Kentjana,Real Estate,Real Estate Services,21900.0,20765447553024,0.42720002,0.028,3.26,17.813858,2.675089,-0.021,0.11
DMAS.JK,Puradelta Lestari,Real Estate,Real Estate - Development,156.0,7518905434112,0.16853,0.0,38.41,5.951927,1.0122246,0.053,3.31
MTLA.JK,Metropolitan Land,Real Estate,Real Estate Services,510.0,3904114524160,0.07868,20.163,2.21,9.766373,0.7117378,-0.153,0.0
APLN.JK,Agung Podomoro Land,Real Estate,Real Estate - Development,152.0,3450297909248,0.058969997,37.154,0.0,8.80139,0.29344988,0.513,-2.56
LPKR.JK,Lippo Karawaci,Healthcare,Medical Care Facilities,70.0,4961411792896,0.015149999,32.191,0.0,12.195123,0.16654772,0.648,-2.78
KIJA.JK,Kawasan Industri Jababeka,Real Estate,Real Estate - Development,124.0,2578807259136,0.10227,55.543,1.46,5.8352942,0.41171664,0.362,2.48
DILD.JK,Intiland Development,Real Estate,Real Estate - Development,122.0,1264634167296,0.02434,48.1,0.0,22.509224,0.22390868,0.207,1.67
GPRA.JK,Perdana Gapuraprima,Real Estate,Real Estate - Development,102.0,436218855424,0.06,22.393,4.35,8.46473,0.32096162,0.175,3.03
PLIN.JK,Plaza Indonesia Realty,Real Estate,Real Estate Services,2510.0,8874741465088,0.056900002,4.646,0.0,8.896923,0.77983636,-0.143,
URBN.JK,Urban Jakarta Propertindo,Real Estate,Real Estate - Development,192.0,598962864128,-0.09034,44.869,0.0,0.0,0.55168927,0.579,-2.54
EMDE.JK,Megapolitan Developments,Real Estate,Real Estate Services,66.0,221100015616,-0.03206,20.332,0.0,0.0,0.12236816,0.0,0.0
BCIP.JK,Bumi Citra Permai,Real Estate,Real Estate - Development,63.0,90084679680,0.05325,2.761,0.0,3.409091,0.17645526,0.315,0.0
POLL.JK,Pollux Properti Indonesia,Real Estate,Real Estate - Development,112.0,931708207104,0.01849,27.252,0.0,85.496185,0.58212966,-0.119,0.0
TARA.JK,Sitara Propertindo,Real Estate,Real Estate - Diversified,32.0,322228649984,-0.00445,0.0,0.0,0.0,0.30851105,-0.075,6.67
JSMR.JK,Jasa Marga,Industrials,Infrastructure Operations,3000.0,21773613531136,0.07721,118.716,5.35,6.2122087,0.5989065,0.14,1.69
WIKA.JK,Wijaya Karya,Industrials,Engineering & Construction,204.0,8133880578048,-1.8133299,6422.033,0.0,0.0,1.4378653,0.122,0.0
PTPP.JK,PP Persero,Industrials,Engineering & Construction,210.0,1298921684992,-0.82073,464.341,0.0,0.0,0.41241485,0.262,-1.87
ADHI.JK,Adhi Karya,Industrials,Engineering & Construction,180.0,1513369632768,-0.82901,247.473,0.0,0.0,0.5011708,0.376,0.0
WTON.JK,Wijaya Karya Beton,Basic Materials,Building Materials,83.0,723383746560,0.00115,11.304,0.57,18.12227,0.20098507,0.351,2.47
NRCA.JK,Nusa Raya Cipta,Industrials,Engineering & Construction,476.0,1188218929152,0.13655,23.8,3.58,6.7023377,0.84705496,-0.088,0.0
ACST.JK,Acset Indonusa,Industrials,Engineering & Construction,83.0,1467038302208,0.0,0.0,0.0,0.0,-3.9733832,0.1,1.22
WSBP.JK,Waskita Beton Precast,Basic Materials,Building Materials,16.0,878963130368,0.0,0.0,0.0,0.0,-0.41621143,0.087,6.67
IDPR.JK,Indonesia Pondasi Raya,Industrials,Engineering & Construction,294.0,588882051072,0.038399998,63.728,1.66,19.691895,0.85662335,0.671,-1.34
PBSA.JK,Paramita Bangun Sarana,Industrials,Engineering & Construction,850.0,2537153363968,0.34544,0.039,6.47,8.62769,3.3229344,0.117,0.0
BTON.JK,Betonjaya Manunggal,Basic Materials,Steel,378.0,272159997952,0.07112,0.0,0.0,28.244787,0.8755878,0.0,1.07
DGIK.JK,Nusa Konstruksi Enjiniring,Industrials,Engineering & Construction,135.0,694028337152,0.07448,35.38,0.0,13.00578,0.93390065,0.213,5.47
MAPI.JK,Mitra Adiperkasa,Consumer Cyclical,Department Stores,1495.0,24817000513536,0.17545,46.96,0.66,10.456008,1.6938207,0.218,-0.66
ACES.JK,Ace Hardware Indonesia,Consumer Cyclical,Specialty Retail,350.0,5992136310784,0.12577,15.234,9.73,8.699975,0.89833885,0.138,0.57
AMRT.JK,Sumber Alfaria Trijaya,Consumer Defensive,Grocery Stores,1295.0,53213923377152,0.19111,13.591,2.39,15.273027,2.8791726,-0.159,-9.12
LPPF.JK,Matahari Department Store,Consumer Cyclical,Department Stores,1600.0,1872354476032,0.76869005,241.162,15.67,4.572212,3.5329838,-0.027,0.31
RALS.JK,Ramayana Lestari Sentosa,Consumer Cyclical,Department Stores,392.0,2404832772096,0.06363,10.817,12.63,6.956522,0.6173851,0.492,-1.01
MIDI.JK,Midi Utama Indonesia,Consumer Defensive,Grocery Stores,294.0,9829977423872,0.18656,12.339,2.39,11.325116,2.164295,-0.06,-4.55
ERAA.JK,Erajaya Swasembada,Consumer Cyclical,Specialty Retail,372.0,5818934624256,0.15758,98.549,5.11,4.063353,0.60942745,0.434,0.0
