Ticker,Name,Sector,Industry,Price,MarketCap,ROE,DER,DivYield,PE_Ratio,PBV,Beta,Past24H
SKLT.JK,Sekar Laut,Consumer Defensive,Packaged Foods,192.0,1197702774784,0.11632,38.456,4.28,10.909091,1.5189873,-0.104,2.67
CLEO.JK,Sariguna Primatirta,Consumer Defensive,Beverages - Non-Alcoholic,390.0,9360000417792,0.17608999,17.606,0.64,24.148607,3.9513679,-0.358,-0.51
KEJU.JK,Mulia Boga Raya,Consumer Defensive,Packaged Foods,565.0,3174856916992,0.21209,0.0,2.86,17.7005,3.7606995,-0.003,0.89
PMMP.JK,Panca Mitra Multiperdana,Consumer Defensive,Packaged Foods,50.0,129415004160,0.0,0.0,0.0,12499.999,-2083.3333,-0.593,0.0
PCAR.JK,Prima Cakrawala Abadi,Consumer Defensive,Packaged Foods,36.0,42000003072,-0.20319,32.977,0.0,0.0,0.638989,-0.518,2.86
FASW.JK,Fajar Surya Wisesa,Consumer Cyclical,Packaging & Containers,5450.0,17555842400256,-0.19434,79.323,0.0,0.0,3.069461,0.199,0.0
INKP.JK,Indah Kiat Pulp and Paper,Basic Materials,Paper & Paper Products,7850.0,42947219292160,0.06929,68.492,0.62,5.138578,6137.6074,0.411,-3.09
TKIM.JK,Pabrik Kertas Tjiwi Kimia,Basic Materials,Paper & Paper Products,5575.0,17356221841408,0.08911,25.016,0.41,3.7673247,5880.802,0.581,-7.85
SPMA.JK,Suparma,Basic Materials,Paper & Paper Products,212.0,869267275776,0.042179998,30.506,0.0,8.38276,0.3477468,0.587,4.95
DAJK.JK,Dwi Aneka Jaya Kemasindo,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMFG.JK,Asahimas Flat Glass,Basic Materials,Building Materials,3130.0,1358419984384,0.00555,23.501,2.56,53.195107,0.29033998,0.249,0.0
MLIA.JK,Mulia Industrindo,Industrials,Building Products & Equipment,250.0,1653749972992,-0.01461,16.239,2.8,0.0,0.30905595,-0.084,0.0
KIAS.JK,Keramika Indonesia Assosiasi,Industrials,Building Products & Equipment,21.0,313511084032,-0.01485,3.011,0.0,0.0,0.44341215,0.0,0.0
YPAS.JK,Yanaprima Hastapersada,Consumer Cyclical,Packaging & Containers,655.0,437540028416,0.073309995,86.331,0.0,48.698887,3.5441995,-0.386,10.08
AKPI.JK,Argha Karya Prima Industry,Consumer Cyclical,Packaging & Containers,520.0,318368972800,0.01751,69.301,1.55,10.001924,0.17409967,0.165,-1.89
IGAR.JK,Champion Pacific Indonesia,Consumer Cyclical,Packaging & Containers,450.0,417501282304,0.096820004,0.184,1.04,7.4013157,0.61250323,-0.023,0.0
